decision_id,decision,score,distinctive_max,register_id,register_birth_date,register_family_name,register_given_name,register_name,register_sex,sample_id,sample_birth_date,sample_family_name,sample_given_name,sample_name,sample_sex,evidence,review_outcome,reviewer,reviewed_at,reason
xwd:sha256:f8833636120dafb62b316b47ead1c3a3a4db0e2dc2f4abe0380e16bfc702e3d7,match,1.0,1.0,488,2016-08-05,Perez,Kevin,Kevin Alexander Perez,M,488,2016-08-05,Perez,Kevin,Kevin Alexander Perez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:99089d99c6e1843d8099e85b58a7448f6ce6b71e29e6693047feb6a7f9457f10,match,1.0,1.0,492,2019-09-10,Foster,Justin,Justin Michael Foster,M,492,2019-09-10,Foster,Justin,Justin Michael Foster,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:75ce3a168ada9ad8a9714c31a9ac79b457a8ed2d1d07dcbce438b484ed1242ac,match,1.0,1.0,494,2016-11-06,Rodriguez,Timothy,Timothy Steven Rodriguez,M,494,2016-11-06,Rodriguez,Timothy,Timothy Steven Rodriguez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:84c1ec6661c0dd9bee613b3528c9c9babb184c3a81299d00d2226e33a81c79a4,match,1.0,1.0,499,2017-03-19,Young,Alexander,Alexander Nicholas Young,M,499,2017-03-19,Young,Alexander,Alexander Nicholas Young,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ed67c8a1cffb7e4a0620269639e031c6f20bd855b45a5e20e11b2fa5235ebfc3,match,1.0,1.0,500,2016-10-19,Hall,Dylan,Dylan Benjamin Hall,M,500,2016-10-19,Hall,Dylan,Dylan Benjamin Hall,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c7ad58d564872cb1d68c8adabbb50e904c5fbe17fb2775c09b224a3ef1b6a61a,match,1.0,1.0,503,2020-12-08,Lewis,Mason,Mason Joseph Lewis,M,503,2020-12-08,Lewis,Mason,Mason Joseph Lewis,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a6b926745c4f3e36354089ad2bf8cf2c0e5b66894b617f2b62f7c75f52ac5a38,match,1.0,1.0,509,2017-08-30,Clark,Cody,Cody Richard Clark,M,509,2017-08-30,Clark,Cody,Cody Richard Clark,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:63c3aa4424c8d3a829116c472adb5ff703d2f24a74e42a3f74c5bcaf3d3ee80e,match,1.0,1.0,516,2016-02-23,Perez,Tyler,Tyler James Perez,,516,2016-02-23,Perez,Tyler,Tyler James Perez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:dbce6c2066e5af67918c25e9d79e8a182eea7bb891025ba991b985d2dd58253d,match,1.0,1.0,520,2020-01-01,Roberts,Nicholas,Nicholas Joseph Roberts,M,520,2020-01-01,Roberts,Nicholas,Nicholas Joseph Roberts,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d782b7579d818b9c0a721493c926bb56d9a57182be8e41a2bd83f0214fd075ab,match,1.0,1.0,526,2020-04-22,Ramirez,Daniel,Daniel Matthew Ramirez,M,526,2020-04-22,Ramirez,Daniel,Daniel Matthew Ramirez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:07e8f8ae6a5eb93b0cd2b198992a7d2e559f13cfd60f724a43fe5a2a8f6e3410,match,1.0,1.0,530,2017-03-24,Taylor,Nicholas,Nicholas Christopher Taylor,M,530,2017-03-24,Taylor,Nicholas,Nicholas Christopher Taylor,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cefb0b034b6f709e39d176ef0be23c320f5e6a54ea6f6340440299efbca27611,match,1.0,1.0,534,2017-12-05,Robinson,Nathan,Nathan Matthew Robinson,M,534,2017-12-05,Robinson,Nathan,Nathan Matthew Robinson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:594d0541785da7e59458be921eaccb6d88a572823a38338d3c68aac2007eaf2e,match,1.0,1.0,543,2019-02-18,Cooper,Caleb,Caleb Michael Cooper,M,543,2019-02-18,Cooper,Caleb,Caleb Michael Cooper,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:b67fc2fee085341a2546d72001699d517c8d273959a321dff0f4134a14c4f801,match,1.0,1.0,546,2020-07-07,Morris,Robert,Robert Joseph Morris,M,546,2020-07-07,Morris,Robert,Robert Joseph Morris,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0a1e4185c135a501e27f2ef677ce70423e715c4addb74ed9d777ad9ba735fa96,match,1.0,1.0,548,2017-01-31,Clark,Christopher,Christopher Ryan Clark,M,548,2017-01-31,Clark,Christopher,Christopher Ryan Clark,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:859d515314fa781a9d737bad42eff2ddb3d616d32a5b2ee8959d19526c3a129d,match,1.0,1.0,556,2019-12-28,Perez,Mason,Mason Christopher Perez,M,556,2019-12-28,Perez,Mason,Mason Christopher Perez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9e38c62de31e0cd4f146daeb616e83f097b3292e8c6cde21d5ddc986eeb38f0d,match,1.0,1.0,560,2016-03-25,Ramirez,Brian,Brian David Ramirez,M,560,2016-03-25,Ramirez,Brian,Brian David Ramirez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d5d175e6797c53f36c69527c02b74df91e388219cffc0595a4e60a292a72cfb0,match,1.0,1.0,567,2020-12-10,Edwards,William,William Patrick Edwards,M,567,2020-12-10,Edwards,William,William Patrick Edwards,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:da8a46147abe5f62bd2b6747208f2cf6369ce6affa781c9e2a9f0db009f0e740,match,1.0,1.0,568,2016-05-14,Miller,Tyler,Tyler James Miller,M,568,2016-05-14,Miller,Tyler,Tyler James Miller,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:30abce49080795b02d04623d65ab4625332d6f1927dce05b86041a417aedcd7a,match,1.0,1.0,572,2020-01-20,Ross,Christopher,Christopher Matthew Ross,M,572,2020-01-20,Ross,Christopher,Christopher Matthew Ross,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ccd822c59f1a5c1597aa6447f33acb63376c72b0dd98ca1a7db867a724f3cfc8,match,1.0,1.0,574,2018-11-11,Wright,Timothy,Timothy John Wright,M,574,2018-11-11,Wright,Timothy,Timothy John Wright,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:faa2ea1cb543c5039d5c2f41f1497dab70a09527df376492221f510fac15979f,match,1.0,1.0,577,2016-02-12,Brooks,Alexander,Alexander Joseph Brooks,M,577,2016-02-12,Brooks,Alexander,Alexander Joseph Brooks,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:b2c63e123a41caa95c70cfc82d5a7ec62dbfa538a201b62da1bafbf1684c9d9f,match,1.0,1.0,586,2019-02-03,Hayes,Adam,Adam William Hayes,M,586,2019-02-03,Hayes,Adam,Adam William Hayes,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:5dbd680ef5ad6b4f8d7a01f9da6738c3372681862294f031052f2ca5c51b4d35,match,1.0,1.0,589,2020-07-02,Collins,Steven,Steven Joseph Collins,M,589,2020-07-02,Collins,Steven,Steven Joseph Collins,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:5b326f42a5f1d35a5c5432b8177cc4e8da45ad9588330388241a3d525997e61a,match,1.0,1.0,592,2018-08-15,Watson,Christopher,Christopher John Watson,M,592,2018-08-15,Watson,Christopher,Christopher John Watson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0db9f41b82a7468534a646ad89e7b80a3df0bd2cb5e71d453db79200d55a3223,match,1.0,1.0,593,2016-11-28,Cox,Ryan,Ryan Alexander Cox,M,593,2016-11-28,Cox,Ryan,Ryan Alexander Cox,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:36d93d45706e3902e9186afaebbffd95350a78032a08009f7f7db9a8a2b280b7,match,1.0,1.0,619,2017-06-08,Reyes,William,William Andrew Reyes,M,619,2017-06-08,Reyes,William,William Andrew Reyes,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:90a0d4d7e3d76beac2628ed6fab80689ea46023a03b8a74c524de53aa70ab680,match,1.0,1.0,621,2017-03-22,Coleman,Matthew,Matthew Ryan Coleman,M,621,2017-03-22,Coleman,Matthew,Matthew Ryan Coleman,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d7bc585b6cb7ae1c49d9383cb12c463f443793ad736dfab112c98b130c91ded3,match,1.0,1.0,626,2019-06-12,Sullivan,Charles,Charles Joseph Sullivan,,626,2019-06-12,Sullivan,Charles,Charles Joseph Sullivan,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d65854ec6b70b44c50c56f4e045bd4627ba5bc7b542c7ea09b051fce9f9da936,match,1.0,1.0,629,2018-10-24,Kim,William,William Joseph Kim,,629,2018-10-24,Kim,William,William Joseph Kim,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e691ad9ca78315e0570ca292461d7d6f90c4fc3f0fa1f0cb3c7f25273bb859a2,match,1.0,1.0,635,2019-11-29,Cox,Joseph,Joseph Jonathan Cox,M,635,2019-11-29,Cox,Joseph,Joseph Jonathan Cox,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a98f2574ee8e420dbd8091154a920e5c6a1eae7691a2a377bbca379e30ad1100,match,1.0,1.0,637,2018-09-09,Brown,Kevin,Kevin Paul Brown,M,637,2018-09-09,Brown,Kevin,Kevin Paul Brown,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:4fc52e5a19d1319717044652e04ac965e8738974a01fddb1a9781236cf54df52,match,1.0,1.0,638,2020-07-24,Green,Brandon,Brandon Anthony Green,M,638,2020-07-24,Green,Brandon,Brandon Anthony Green,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:48136c1e2d31b75933f1dc3408ad012f3a8d43a793c2ad80eca0eabdcfcc48d0,match,1.0,1.0,641,,Wood,Justin,Justin Patrick Wood,M,641,2017-11-12,Wood,Justin,Justin Patrick Wood,M,"{""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:b7342de4968a619c5f19a298943709afa15cda7751d0312df0bdd2985f9890d6,match,1.0,1.0,657,2018-03-16,Thompson,Jacob,Jacob Timothy Thompson,M,657,2018-03-16,Thompson,Jacob,Jacob Timothy Thompson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:54e658dd28651c669f1238fd2c0ed8b11b8d4349c640ad7cab0d86d129ae212b,match,1.0,1.0,660,2019-09-06,Wright,Alexander,Alexander David Wright,M,660,2019-09-06,Wright,Alexander,Alexander David Wright,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f27978d32c1c36c1878ed7ce9e2dd40e9213f48aa3a514d3c98898a9dc058334,match,1.0,1.0,661,2018-05-12,Hernandez,Benjamin,Benjamin Tyler Hernandez,M,661,2018-05-12,Hernandez,Benjamin,Benjamin Tyler Hernandez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:fc209566cd1c912ebfd9df6a26af934bdc7b0c0f349a459aa4c9b283bcc0094e,match,1.0,1.0,666,2020-12-28,White,Kevin,Kevin Jacob White,M,666,2020-12-28,White,Kevin,Kevin Jacob White,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:834ab50ca8cc7b8b474d30668418e92d138b3c3d4747a146cb41f1e5ebd29b30,match,1.0,1.0,680,2018-08-25,Zhang,Tao,Tao Wei Zhang,M,680,2018-08-25,Zhang,Tao,Tao Wei Zhang,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:28ec3618f75d8975d9d2572e2fd69540c7e1f1c81915d2bd1cb5b33ecd500aa8,match,1.0,1.0,681,2019-02-07,Ito,Shinichi,Shinichi Nakamura Ito,M,681,2019-02-07,Ito,Shinichi,Shinichi Nakamura Ito,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:483e4ff68e2d49e6beb1c943fcfa05ade40980eb7346931c9963ddcee3aa9b10,match,1.0,1.0,690,2016-09-15,Kim,Seunghee,Seunghee Lee Kim,M,690,2016-09-15,Kim,Seunghee,Seunghee Lee Kim,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9b468dd857e50d09df6031822a40583c08b01ba36bfb172d346b991f9201ce1f,match,1.0,1.0,692,2019-11-04,Matsuda,Yuki,Yuki Suki Matsuda,F,692,2019-11-04,Matsuda,Yuki,Yuki Suki Matsuda,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c7799be783ef09b6f585ac22a716869855e80f889d473383f6e60660bde73ec3,match,1.0,1.0,695,2018-06-27,Liu,Zhang,Zhang Jun Liu,M,695,2018-06-27,Liu,Zhang,Zhang Jun Liu,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e5711c319b06efaf9365fc63df24af972d2d9e409468efea7628b456f21e51c2,match,1.0,1.0,698,2017-11-22,Tanaka,Hanae,Hanae So Tanaka,F,698,2017-11-22,Tanaka,Hanae,Hanae So Tanaka,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f6ff0c720cdc5e3eac1423106ff73bce95e52b12021ce647c2c479648d5d381f,match,1.0,1.0,707,2019-09-20,Lopez,Lucia,Lucia Raquel Lopez,F,707,2019-09-20,Lopez,Lucia,Lucia Raquel Lopez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c8921dd9166815453c0f3804a6c9a811afcf74ed0ab5b17ad1c195dd34225043,match,1.0,1.0,709,2018-08-12,Ortiz,Gloria,Gloria Beatriz Ortiz,F,709,2018-08-12,Ortiz,Gloria,Gloria Beatriz Ortiz,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7045e078d7b4c4c025bcd873e0b81f36c8f1dfea5c14670f4a4d7389f6a0efd3,match,1.0,1.0,717,2019-09-30,Gonzalez,Ximena,Ximena Guadalupe Gonzalez,F,717,2019-09-30,Gonzalez,Ximena,Ximena Guadalupe Gonzalez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:065fef7e8deb330601206568b44b05202eb51fec108ccc14c2caf7e558165f83,match,1.0,1.0,718,2018-06-17,Pacheco,Lorena,Lorena Patricia Pacheco,F,718,2018-06-17,Pacheco,Lorena,Lorena Patricia Pacheco,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ac55849f2d58ea7a237e1d2366aaa90a9c6d9f0ea16b6cd4d51a67a3515836a1,match,1.0,1.0,721,2016-03-31,Navarro,Ana,Ana Cecilia Navarro,F,721,2016-03-31,Navarro,Ana,Ana Cecilia Navarro,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0d0ecc72abbfc3cb5c5eb368d86190386fea8160b740dea98e4a65046f0b56dd,match,1.0,1.0,722,2019-07-25,Velazquez,Isadora,Isadora Renata Velazquez,F,722,2019-07-25,Velazquez,Isadora,Isadora Renata Velazquez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0581b0f72633ae3d43189eb38b69b5742eb62a5e12b36589ff797ce45d509e03,match,1.0,1.0,726,2016-06-11,Fuentes,Sofia,Sofia Esperanza Fuentes,F,726,2016-06-11,Fuentes,Sofia,Sofia Esperanza Fuentes,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7d5b328991e11c462d2dc5faafe8738bf89ae4cb412c5cda6b5c5a56088ebf71,match,1.0,1.0,729,2019-03-09,Aguilar,Anabel,Anabel Lourdes Aguilar,F,729,2019-03-09,Aguilar,Anabel,Anabel Lourdes Aguilar,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c2a7c89dd23eedbb83bd868cb49e75aeef462c6d418ecb892c016995333a6a50,match,1.0,1.0,751,2020-10-15,Roman,Daniela,Daniela Gabriela Roman,F,751,2020-10-15,Roman,Daniela,Daniela Gabriela Roman,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:78956637bc4c30eefff6820e2917aee4bc22ebc92e7c11b3faced8c89f7c3d98,match,1.0,1.0,753,2018-07-08,Velasco,Andrea,Andrea Yaretzi Velasco,F,753,2018-07-08,Velasco,Andrea,Andrea Yaretzi Velasco,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:25acfd9c75daae16cd4d462bdd4a54f9285ed50f1dbc3c13ef2ed474861be642,match,1.0,1.0,755,2017-04-07,Moreno,Gloria,Gloria Xochitl Moreno,F,755,2017-04-07,Moreno,Gloria,Gloria Xochitl Moreno,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f972a275f73858dc4b34ff8a1d98b4ec3296db8f0a95c0fbc4711358b137b5b1,match,1.0,1.0,756,2016-12-10,Sepulveda,Emilia,Emilia Ivonne Sepulveda,F,756,2016-12-10,Sepulveda,Emilia,Emilia Ivonne Sepulveda,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:494972312d2b6389356d3493455ba87ef7b6323f9c2576e121c007c75a5ee5ca,match,1.0,1.0,772,2020-10-16,Barrera,Marisol,Marisol Esther Barrera,F,772,2020-10-16,Barrera,Marisol,Marisol Esther Barrera,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e8a204312824d8b68b9e80bc7851a74b41f789cc710fa0287d1d891338d6991b,match,1.0,1.0,774,2018-07-31,Valenzuela,Priscila,Priscila Ana Valenzuela,F,774,2018-07-31,Valenzuela,Priscila,Priscila Ana Valenzuela,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e2387183cedf4146b3c2d3e4bed9408ad461d6910f4970eef1c6fe71e84a5363,match,1.0,1.0,776,2017-11-04,Valencia,Leticia,Leticia Itzel Valencia,F,776,2017-11-04,Valencia,Leticia,Leticia Itzel Valencia,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9aaf372663080e1c5f1604cfef7d03503788b701c0c8dda5482e163e282de1a7,match,1.0,1.0,793,2019-06-27,Perez,Alejandro,Alejandro Jose Perez,M,793,2019-06-27,Perez,Alejandro,Alejandro Jose Perez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:777cebe592066d12413b86742dfb39675cfdd59330b98ecc500e6a536fca6f80,match,1.0,1.0,796,2017-12-17,Torres,Ricardo,Ricardo Daniel Torres,M,796,2017-12-17,Torres,Ricardo,Ricardo Daniel Torres,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:bdebdc3957fdb080c8494c7c45ab8bab8f6492062ab23f28cfe03e79b524e0c4,match,1.0,1.0,801,2020-04-02,Gonzalez,Jose,Jose Eduardo Gonzalez,M,801,2020-04-02,Gonzalez,Jose,Jose Eduardo Gonzalez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:51fad62647ce0a8675c3e2cc855786277b8d8bbd630fc2b993a28881e647e5e9,match,1.0,1.0,803,2018-07-22,Diaz,Francisco,Francisco Javier Diaz,M,803,2018-07-22,Diaz,Francisco,Francisco Javier Diaz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e470d19ac2cf50bf6c9ff781a3d20bdeba1353c96ef2c06f6592775e3da2acf8,match,1.0,1.0,804,2019-12-14,Hernandez,Juan,Juan Pablo Hernandez,M,804,2019-12-14,Hernandez,Juan,Juan Pablo Hernandez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:3729cb45c612db39c60aa48906876b858d39241547fc4209a5b91de1930cdf73,match,1.0,1.0,805,2016-03-28,Martinez,Manuel,Manuel Alejandro Martinez,M,805,2016-03-28,Martinez,Manuel,Manuel Alejandro Martinez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ccd3ccd043416aa5a6977d2e4269277eaf20cf38b2918992ed7582693161eb29,match,1.0,1.0,813,2020-06-06,Ramirez,Pedro,Pedro Pablo Ramirez,M,813,2020-06-06,Ramirez,Pedro,Pedro Pablo Ramirez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:87e5504d15556d421c3bed577e2bbc00a5f81cd809da30dc1404e567ee7e95b2,match,1.0,1.0,818,2018-08-16,Gonzalez,Angel,Angel Luis Gonzalez,M,818,2018-08-16,Gonzalez,Angel,Angel Luis Gonzalez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6aef8633118d40b4773ef0195e6349df4d786ac04409efb02df3de815d71f5c5,match,1.0,1.0,819,2019-06-20,Ortiz,Victor,Victor Hugo Ortiz,M,819,2019-06-20,Ortiz,Victor,Victor Hugo Ortiz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1eba98fb8423876bec3ad7018441db1cc5af54758e73e9d65439ff10bb4455dc,match,1.0,1.0,821,2017-03-01,Rodriguez,Gabriel,Gabriel Eduardo Rodriguez,M,821,2017-03-01,Rodriguez,Gabriel,Gabriel Eduardo Rodriguez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:28a89b8ab3cc761559d8f82049c76d98fff544c5e2a08e9249b5937f563b4f43,match,1.0,1.0,826,2019-08-11,Ramos,Guillermo,Guillermo Antonio Ramos,M,826,2019-08-11,Ramos,Guillermo,Guillermo Antonio Ramos,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:388bcab7ffd2e6d038301f31d932d73b88b13989555734d4dbc2abef99e4d611,match,1.0,1.0,829,2018-07-28,Cruz,Hector,Hector David Cruz,M,829,2018-07-28,Cruz,Hector,Hector David Cruz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:fa72fe1dcd3290b9e82309f971bdcc495e9056bc328d8a7ede964f197c8f707a,match,1.0,1.0,830,2019-12-21,Rodriguez,Ricardo,Ricardo Jose Rodriguez,M,830,2019-12-21,Rodriguez,Ricardo,Ricardo Jose Rodriguez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:885d4460946e8fc6d73c77d2be195f313cb1042465d8df3ac698ef7db965f2e0,match,1.0,1.0,832,2020-11-26,Flores,Juan,Juan Antonio Flores,M,832,2020-11-26,Flores,Juan,Juan Antonio Flores,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:96cc6f43571fb20e3118b794b611fd711613a5309c5a7e85c1ad864f23caff41,match,1.0,1.0,834,2016-08-04,Gonzalez,Luis,Luis Enrique Gonzalez,M,834,2016-08-04,Gonzalez,Luis,Luis Enrique Gonzalez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:980a35e034b84cde2a219f79a5243b3512a8879962d20bab72a1588223205f9e,match,1.0,1.0,837,2018-01-17,Ramirez,Javier,Javier Arturo Ramirez,M,837,2018-01-17,Ramirez,Javier,Javier Arturo Ramirez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ce5744bda1059bedbdb57ac06d36e6844db1f36429c2166167b2cc25f23ddd3f,match,1.0,1.0,838,2018-12-06,Hernandez,Roberto,Roberto Antonio Hernandez,M,838,2018-12-06,Hernandez,Roberto,Roberto Antonio Hernandez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ccda101a9bd6262f9b6982ecef010fa20ba7e00ffabdc959bc751593ce38832f,match,1.0,1.0,844,2018-08-25,Chavez,Juan,Juan Carlos Chavez,M,844,2018-08-25,Chavez,Juan,Juan Carlos Chavez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f438261f750c755751f94e8b07a8b788946fe1b83544b190f4375b7006cc14ef,match,1.0,1.0,851,2017-06-13,Sanchez,Miguel,Miguel Angel Sanchez,M,851,2017-06-13,Sanchez,Miguel,Miguel Angel Sanchez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e51e56fb504f2eaea39e958b1e2c73a48e91ac30ab3acbd39b95a7cee9af621f,match,1.0,1.0,862,2019-06-28,Ortiz,Andres,Andres Eduardo Ortiz,,862,2019-06-28,Ortiz,Andres,Andres Eduardo Ortiz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1cedeaf2d60454493961f87a0c39c253180c80cfed49f053167401e08e3c3af0,match,1.0,1.0,869,2018-05-05,Ortiz,Ricardo,Ricardo Gabriel Ortiz,M,869,2018-05-05,Ortiz,Ricardo,Ricardo Gabriel Ortiz,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
